problem,size,method,instance_seed,hv_ratio,num_nondominated,wallclock_sec,num_evals
Bi-TSP,20,BO,50008,0.22424718623578868,3,2.8739959489903413,396
Bi-TSP,20,D&L,50009,0.1644532836191988,3,7.034370482026134,1680
Bi-TSP,20,D&L-TS,50009,0.16422932867285073,4,7.39627871097764,1680
Bi-TSP,20,WS-heuristic,50009,0.8758226977711886,7,0.21367116301553324,5282
Bi-TSP,20,NSGA-II,50009,0.6249428836331183,4,0.5447666440159082,1600
Bi-TSP,20,BO,50009,0.34803824302315994,3,5.344838438031729,396
Bi-TSP,20,D&L,50010,0.17228108924211077,6,9.60306065302575,1680
Bi-TSP,20,D&L-TS,50010,0.19175844661919264,4,10.29573143000016,1680
Bi-TSP,20,WS-heuristic,50010,0.8213539942295504,6,0.24519862298620865,4772
Bi-TSP,20,NSGA-II,50010,0.5747322575605628,5,0.5303217269829474,1600
Bi-TSP,20,BO,50010,0.20999979277463304,7,2.7420950590167195,396
Bi-TSP,20,D&L,50011,0.36876764103154813,3,7.622574539971538,1680
Bi-TSP,20,D&L-TS,50011,0.3040157141126174,4,7.487213655025698,1680
Bi-TSP,20,WS-heuristic,50011,0.793493558146047,8,0.13801561301806942,4262
Bi-TSP,20,NSGA-II,50011,0.6570864850427103,6,0.37604636896867305,1600
Bi-TSP,20,BO,50011,0.41849840287527135,3,1.826009429001715,396
Bi-TSP,20,D&L,50012,0.15298173301591259,6,7.57924001396168,1680
Bi-TSP,20,D&L-TS,50012,0.19530637206727233,2,6.8935865489766,1680
Bi-TSP,20,WS-heuristic,50012,0.6798159425673711,8,0.17935963795753196,5112
