variant,oracle,n,k,eps,seed,adversarial,alg_seeds,min_ratio,mean_ratio,mean_min_ratio,exp_min_ratio,n_checkpoints,total_queries,wall_s
A2,dicut,14,3,0.1,10,1,4,0.8933892001760322,0.9922132248062296,0.8982380175971584,,37,3963,0.05139756202697754
A2,dicut,14,3,0.1,11,0,4,0.8838931085966429,0.9726362645910356,0.8838931085966429,0.8838931085966429,37,3403,0.04188680648803711
A2,dicut,14,3,0.1,11,1,4,0.8838931085966429,0.9937907394431883,0.8838931085966429,,37,3872,0.05427074432373047
A2,dicut,14,3,0.1,12,0,4,0.8171551235215166,0.9469260548613111,0.7701178372653324,0.7754975949438268,37,3395,0.04575395584106445
A2,dicut,14,3,0.1,12,1,4,0.8672171772950948,0.9879666478158424,0.8008349639893844,,37,3907,0.05448126792907715
A2,dicut,14,3,0.1,13,0,4,0.8284458766474682,0.9654074235823413,0.8214599829807239,0.8426682419519249,37,3410,0.04205775260925293
A2,dicut,14,3,0.1,13,1,4,0.8284458766474682,0.9864515680382276,0.8214599829807239,,37,3788,0.047036170959472656
A2,dicut,14,3,0.1,14,0,4,0.8802408440854526,0.9843675300903538,0.9040037666141985,0.9040037666141985,37,3462,0.049486398696899414
A2,dicut,14,3,0.1,14,1,4,0.9463964459922689,0.9960298930449014,0.9386445574037632,,37,3959,0.0495755672454834
A2,dicut,14,3,0.1,15,0,4,0.988625279184995,0.9975028566835065,0.988625279184995,0.9909978242338604,37,3697,0.04521822929382324
A2,dicut,14,3,0.1,15,1,4,0.9587457324128742,0.9964256206998062,0.9587457324128742,,37,4344,0.05246257781982422
A2,dicut,14,5,0.1,0,0,4,0.8139363832242106,0.9605472690943146,0.8163171696593658,0.8287535165439337,37,10378,0.3051471710205078
A2,dicut,14,5,0.1,0,1,4,0.8139363832242106,0.9870937620863867,0.800978595839466,,37,13335,0.3321101665496826
A2,dicut,14,5,0.1,1,0,4,0.7441578408354376,0.9533932690528615,0.7702180666398999,0.7702180666398999,37,9362,0.2816026210784912
A2,dicut,14,5,0.1,1,1,4,0.7441578408354376,0.9816877749226693,0.7702180666398999,,37,10912,0.2969939708709717
A2,dicut,14,5,0.1,2,0,4,0.8641384598462774,0.9733698844824213,0.8641384598462774,0.8641384598462774,37,9229,0.30455803871154785
A2,dicut,14,5,0.1,2,1,4,0.9710595028319012,0.9966584254743861,0.948604811880047,,37,9980,0.29206132888793945
A2,dicut,14,5,0.1,3,0,4,0.6514358013907314,0.9445285665201574,0.7947974692869147,0.8396297254741005,37,9397,0.2782108783721924
A2,dicut,14,5,0.1,3,1,4,0.7333344505946391,0.9795363796331513,0.8265085587197131,,37,10737,0.2792835235595703
A2,dicut,14,5,0.1,4,0,4,0.91924655717296,0.9729202359196589,0.8946652995738975,0.9252469417761309,37,10707,0.3380434513092041
A2,dicut,14,5,0.1,4,1,4,0.9483210421279036,0.9961413115784591,0.9072024138503123,,37,11880,0.35283470153808594
A2,dicut,14,5,0.1,5,0,4,0.8225455473969508,0.9567486863808933,0.8553099837873275,0.9068140488050361,37,9704,0.2869288921356201
A2,dicut,14,5,0.1,5,1,4,0.8225455473969508,0.9644864662212665,0.8570053784261614,,37,11174,0.3077049255371094
A2,dicut,14,5,0.1,6,0,4,0.885356671380075,0.9569936956892251,0.885356671380075,0.885356671380075,37,9197,0.2984898090362549
A2,dicut,14,5,0.1,6,1,4,0.939399839503816,0.9963467853459536,0.939399839503816,,37,11097,0.31856632232666016
A2,dicut,14,5,0.1,7,0,4,0.7871904673602236,0.9651149304764772,0.7426037623825331,0.800658357291678,37,9989,0.3047208786010742
A2,dicut,14,5,0.1,7,1,4,0.7871904673602236,0.9881990936387074,0.7881883013123029,,37,11000,0.30663418769836426
A2,dicut,14,5,0.1,8,0,4,0.7012245043574193,0.966823304128868,0.7380739875768841,0.7392067440055308,37,9910,0.29735493659973145
A2,dicut,14,5,0.1,8,1,4,0.7012245043574193,0.9672993429998137,0.7380739875768841,,37,11597,0.30825161933898926
A2,dicut,14,5,0.1,9,0,4,0.8360705819231273,0.9805861493681495,0.8690603945760991,0.8837197954475877,37,10171,0.32120394706726074
A2,dicut,14,5,0.1,9,1,4,0.8360705819231273,0.9914442063251367,0.8690603945760991,,37,11878,0.3229794502258301
A2,dicut,14,5,0.1,10,0,4,0.8301870206228498,0.9482220761827094,0.8496164471378413,0.8788818349177387,37,10146,0.30174922943115234
A2,dicut,14,5,0.1,10,1,4,0.8301870206228498,0.951046087076018,0.8311794297731131,,37,12025,0.3274190425872803
A2,dicut,14,5,0.1,11,0,4,0.8866705657484558,0.9828414667303754,0.8980711654489575,0.9228575915512998,37,9780,0.3155677318572998
A2,dicut,14,5,0.1,11,1,4,0.8866705657484558,0.990775414702943,0.8980711654489575,,37,12219,0.30179882049560547
A2,dicut,14,5,0.1,12,0,4,0.942064818188607,0.9908250937510877,0.9104140368017107,0.9248978322545589,37,10010,0.2875950336456299
A2,dicut,14,5,0.1,12,1,4,0.942064818188607,0.9830260441375243,0.942064818188607,,37,10810,0.2916891574859619
