variant,oracle,n,k,eps,seed,adversarial,min_ratio,mean_ratio,n_checkpoints,total_queries,wall_s
A1,dicut,15,5,0.1,24,1,0.25067931928149484,0.49612756335260216,48,2215,0.33852458000183105
A1,covcost,15,3,0.1,0,0,0.4284372266047347,0.7498657688401483,48,373,0.05369257926940918
A1,covcost,15,3,0.1,0,1,0.48541400191840733,0.5819378541960317,48,1181,0.055356502532958984
A1,covcost,15,3,0.1,1,0,0.401129906072058,0.931974982414749,48,560,0.05827975273132324
A1,covcost,15,3,0.1,1,1,0.401129906072058,0.9166906849273878,48,3867,0.058107614517211914
A1,covcost,15,3,0.1,2,0,0.5251283784699754,0.8553457774618801,48,529,0.055416107177734375
A1,covcost,15,3,0.1,2,1,0.5251283784699754,0.9060709433200835,48,2439,0.05682253837585449
A1,covcost,15,3,0.1,3,0,0.5488658343866513,0.5810862164389121,48,309,0.048497915267944336
A1,covcost,15,3,0.1,3,1,0.5488658343866513,0.5713449341098055,48,982,0.05036568641662598
A1,covcost,15,3,0.1,4,0,0.48889064651087355,0.5525381245402236,48,969,0.055342674255371094
A1,covcost,15,3,0.1,4,1,0.4969829794104427,0.725847960351425,48,4606,0.06029796600341797
A1,covcost,15,3,0.1,5,0,0.5176291803602433,0.6794138074303125,48,1505,0.05518817901611328
A1,covcost,15,3,0.1,5,1,0.5176291803602433,0.6344024528970378,48,5611,0.06684041023254395
A1,covcost,15,3,0.1,6,0,0.5302670193525905,0.799210111368275,48,280,0.05251431465148926
A1,covcost,15,3,0.1,6,1,0.5302670193525905,0.6717953282045888,48,1255,0.05605030059814453
A1,covcost,15,3,0.1,7,0,0.577616388372923,0.8975509892660635,48,783,0.053313493728637695
A1,covcost,15,3,0.1,7,1,0.4767102835235217,0.7758981941327976,48,4585,0.06482219696044922
A1,covcost,15,3,0.1,8,0,0.4770575555204571,0.7769919464398957,48,690,0.055219173431396484
A1,covcost,15,3,0.1,8,1,0.5543858035546383,0.7844029794180013,48,1030,0.057335853576660156
A1,covcost,15,3,0.1,9,0,0.5634354271085342,0.5907924623408607,48,486,0.04817366600036621
A1,covcost,15,3,0.1,9,1,0.5634354271085342,0.5866437149309348,48,1970,0.05252194404602051
A1,covcost,15,3,0.1,10,0,0.4846149780745573,0.6893009210973791,48,1311,0.056552886962890625
A1,covcost,15,3,0.1,10,1,0.4846149780745573,0.5672710107951304,48,5137,0.06590390205383301
A1,covcost,15,3,0.1,11,0,0.4235504295307029,0.648722912296597,48,137,0.05064058303833008
A1,covcost,15,3,0.1,11,1,0.6009368276992225,0.72008100976551,48,574,0.0518031120300293
A1,covcost,15,3,0.1,12,0,0.5934563425970895,0.7703153776243314,48,1358,0.05620980262756348
A1,covcost,15,3,0.1,12,1,0.5934563425970895,0.9317899856472002,48,3615,0.061187744140625
A1,covcost,15,3,0.1,13,0,0.673386214301076,0.7740336577780033,48,349,0.05035543441772461
A1,covcost,15,3,0.1,13,1,0.49656136608406964,0.6495945190993724,48,2013,0.05578136444091797
A1,covcost,15,3,0.1,14,0,0.6506568687114042,0.810115661309211,48,1638,0.05695819854736328
A1,covcost,15,3,0.1,14,1,0.522332061227579,0.7704610369757193,48,8645,0.0763092041015625
A1,covcost,15,3,0.1,15,0,0.8144346292303715,0.9650979300181107,48,1596,0.05561709403991699
A1,covcost,15,3,0.1,15,1,0.8372226872153606,0.9476630893627908,48,7023,0.06836771965026855
A1,covcost,15,3,0.1,16,0,0.6216693911088819,0.719594007685115,48,1524,0.0568695068359375
A1,covcost,15,3,0.1,16,1,0.5359521916410867,0.7103229223492223,48,4373,0.06169009208679199
A1,covcost,15,3,0.1,17,0,0.394291940013537,0.5123438219070665,48,604,0.05453157424926758
A1,covcost,15,3,0.1,17,1,0.394291940013537,0.48112942939312536,48,1470,0.05680561065673828
A1,covcost,15,3,0.1,18,0,0.44136490509999005,0.7340201446897371,48,427,0.05504441261291504
A1,covcost,15,3,0.1,18,1,0.44136490509999005,0.6985807235108149,48,4533,0.06921839714050293
A1,covcost,15,3,0.1,19,0,0.4552427960701845,0.7922271261890637,48,520,0.05183005332946777
A1,covcost,15,3,0.1,19,1,0.6290691004250019,0.8701965976559846,48,3315,0.05911564826965332
A1,covcost,15,3,0.1,20,0,0.5268561153362793,0.7936825420621497,47,625,0.04958701133728027
A1,covcost,15,3,0.1,20,1,0.5268561153362793,0.7581684028181144,47,2364,0.054964303970336914
A1,covcost,15,3,0.1,21,0,0.5668256009790184,0.6017624482223098,48,1170,0.0555720329284668
A1,covcost,15,3,0.1,21,1,0.5668256009790184,0.5982019452127166,48,3303,0.05884838104248047
A1,covcost,15,3,0.1,22,0,0.5720729820370797,0.6534088164845412,48,314,0.050826072692871094
A1,covcost,15,3,0.1,22,1,0.524532450025293,0.5761065264851082,48,4119,0.06304717063903809
A1,covcost,15,3,0.1,23,0,0.5079455124141812,0.664236409478475,48,282,0.048848867416381836
A1,covcost,15,3,0.1,23,1,0.5079455124141812,0.577925861440257,48,1344,0.05385136604309082
A1,covcost,15,3,0.1,24,0,0.5995614582660911,0.8145197961611798,48,1149,0.05597209930419922
A1,covcost,15,3,0.1,24,1,0.4456643170732667,0.6107740116309174,48,1626,0.05416369438171387
A1,covcost,15,5,0.1,0,0,0.5069183204061015,0.5529015263368646,48,534,0.44724130630493164
