variant,oracle,n,k,eps,seed,adversarial,min_ratio,mean_ratio,n_checkpoints,total_queries,wall_s
A1,covcost,15,5,0.1,0,1,0.5069183204061015,0.5453375518558886,48,1526,0.45553135871887207
A1,covcost,15,5,0.1,1,0,0.7397098931745095,0.906680557999763,48,273,0.44966602325439453
A1,covcost,15,5,0.1,1,1,0.5811718096297508,0.7822614955453355,48,910,0.42865514755249023
A1,covcost,15,5,0.1,2,0,0.42755479668218616,0.5968232557234252,47,842,0.45404052734375
A1,covcost,15,5,0.1,2,1,0.4158753929600472,0.5062320235873818,47,4001,0.45790576934814453
A1,covcost,15,5,0.1,3,0,0.5103381148896804,0.5876905606674402,48,434,0.4428236484527588
A1,covcost,15,5,0.1,3,1,0.5103381148896804,0.5526341873918119,48,1440,0.43237924575805664
A1,covcost,15,5,0.1,4,0,0.5480278911765802,0.718203278857759,48,1234,0.45577430725097656
A1,covcost,15,5,0.1,4,1,0.5996021739680109,0.6732872754030691,48,5307,0.46587133407592773
A1,covcost,15,5,0.1,5,0,0.41356236875488683,0.5326406479969595,48,407,0.447246789932251
A1,covcost,15,5,0.1,5,1,0.41356236875488683,0.5442840304143369,48,1256,0.44515490531921387
A1,covcost,15,5,0.1,6,0,0.4941273705867823,0.7434240977148331,48,545,0.43722987174987793
A1,covcost,15,5,0.1,6,1,0.4941273705867823,0.7265091864761791,48,8010,0.48017287254333496
A1,covcost,15,5,0.1,7,0,0.5277792655581678,0.589137006356384,48,1075,0.46096253395080566
A1,covcost,15,5,0.1,7,1,0.5277792655581678,0.6032427158361127,48,8453,0.4833691120147705
A1,covcost,15,5,0.1,8,0,0.5026644730792681,0.7730658936449984,48,308,0.45455503463745117
A1,covcost,15,5,0.1,8,1,0.3936571096651366,0.7416031198554514,48,1016,0.45617246627807617
A1,covcost,15,5,0.1,9,0,0.43065983941531144,0.636841957581905,48,833,0.4364190101623535
A1,covcost,15,5,0.1,9,1,0.43065983941531144,0.6265618415421967,48,7266,0.452958345413208
