variant,oracle,n,k,eps,seed,adversarial,alg_seeds,min_ratio,mean_ratio,mean_min_ratio,exp_min_ratio,n_checkpoints,total_queries,wall_s,series
A2,covcost,14,3,0.1,11,0,4,0.7037685077413272,0.946193220979636,0.7868822375597413,0.8385017380583688,37,4667,0.0696594715118408,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,11,1,4,0.8749999656899382,0.9770769579632822,0.847337338740911,,37,6897,0.0973684787750244,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,12,0,4,0.5986262711678141,0.8975404335154722,0.5986262711678141,0.5986262711678141,37,4078,0.0691390037536621,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,12,1,4,0.5986262711678141,0.9593863917480996,0.5986262711678141,,37,8555,0.1030173301696777,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,13,0,4,0.8103739227927224,0.9700040513977288,0.8103739227927224,0.8348114431270828,37,3815,0.0660479068756103,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,13,1,4,0.8103739227927224,0.9754505536306016,0.8103739227927224,,37,5750,0.0780291557312011,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,14,0,4,0.8986233222170129,0.9890296554430438,0.8978159181697236,0.9239674916627596,37,4057,0.0728304386138916,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,14,1,4,0.8943122295702054,0.9770570031728244,0.8888280362072338,,37,7696,0.0936536788940429,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,15,0,4,0.7851575588684002,0.9380465046704536,0.7940992596763555,0.8030435698463135,37,4013,0.0634496212005615,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,15,1,4,0.8468220736233187,0.955978509048978,0.8482947297764665,,37,5199,0.072840929031372,A2 (two-pass + offline combine)
A2,covcost,14,5,0.1,0,0,4,0.7718019143730118,0.9662794363446036,0.8359097986939742,0.9121002730835972,37,12877,0.4200921058654785,A2 (two-pass + offline combine)
A2,covcost,14,5,0.1,0,1,4,0.7718019143730118,0.9585946982376392,0.8180915388198022,,37,20456,0.4417548179626465,A2 (two-pass + offline combine)
A2,covcost,14,5,0.1,1,0,4,0.7779953250365574,0.9463312072341236,0.8322851189533266,0.8625048278926509,37,11721,0.4068925380706787,A2 (two-pass + offline combine)
A2,covcost,14,5,0.1,1,1,4,0.7779953250365574,0.963828522790893,0.8068452060785676,,37,17314,0.4484665393829345,A2 (two-pass + offline combine)
A2,covcost,14,5,0.1,2,0,4,0.8385195330183118,0.947822605391214,0.8385195330183118,0.8385195330183118,36,8422,0.4019157886505127,A2 (two-pass + offline combine)
A2,covcost,14,5,0.1,2,1,4,0.8615295889766911,0.9819081587011548,0.8690046464837322,,36,14605,0.4218275547027588,A2 (two-pass + offline combine)
A2,covcost,14,5,0.1,3,0,4,0.9153226932194294,0.9781066652197684,0.9153226932194294,0.9318280979454704,37,8686,0.3860564231872558,A2 (two-pass + offline combine)
A2,covcost,14,5,0.1,3,1,4,0.9153226932194294,0.9917714072012604,0.9373272257337087,,37,14904,0.4116461277008056,A2 (two-pass + offline combine)
