special_case,seed,shape,t,max_abs_diff,pass
normalized_gd,4,"(32,)",3.7,2.220446049250313e-16,True
signgd,0,"(8,)",0.01,0.0,True
signgd,0,"(8,)",0.1,0.0,True
signgd,0,"(8,)",1.0,0.0,True
signgd,0,"(8,)",3.7,0.0,True
signgd,1,"(8,)",0.01,0.0,True
signgd,1,"(8,)",0.1,0.0,True
signgd,1,"(8,)",1.0,0.0,True
signgd,1,"(8,)",3.7,0.0,True
signgd,2,"(8,)",0.01,0.0,True
signgd,2,"(8,)",0.1,0.0,True
signgd,2,"(8,)",1.0,0.0,True
signgd,2,"(8,)",3.7,0.0,True
signgd,3,"(8,)",0.01,0.0,True
signgd,3,"(8,)",0.1,0.0,True
signgd,3,"(8,)",1.0,0.0,True
signgd,3,"(8,)",3.7,0.0,True
signgd,4,"(8,)",0.01,0.0,True
signgd,4,"(8,)",0.1,0.0,True
signgd,4,"(8,)",1.0,0.0,True
signgd,4,"(8,)",3.7,0.0,True
signgd,0,"(16,)",0.01,0.0,True
signgd,0,"(16,)",0.1,0.0,True
signgd,0,"(16,)",1.0,0.0,True
signgd,0,"(16,)",3.7,0.0,True
signgd,1,"(16,)",0.01,0.0,True
signgd,1,"(16,)",0.1,0.0,True
signgd,1,"(16,)",1.0,0.0,True
signgd,1,"(16,)",3.7,0.0,True
signgd,2,"(16,)",0.01,0.0,True
signgd,2,"(16,)",0.1,0.0,True
signgd,2,"(16,)",1.0,0.0,True
signgd,2,"(16,)",3.7,0.0,True
signgd,3,"(16,)",0.01,0.0,True
signgd,3,"(16,)",0.1,0.0,True
signgd,3,"(16,)",1.0,0.0,True
signgd,3,"(16,)",3.7,0.0,True
signgd,4,"(16,)",0.01,0.0,True
signgd,4,"(16,)",0.1,0.0,True
signgd,4,"(16,)",1.0,0.0,True
signgd,4,"(16,)",3.7,0.0,True
signgd,0,"(32,)",0.01,0.0,True
signgd,0,"(32,)",0.1,0.0,True
signgd,0,"(32,)",1.0,0.0,True
signgd,0,"(32,)",3.7,0.0,True
signgd,1,"(32,)",0.01,0.0,True
signgd,1,"(32,)",0.1,0.0,True
signgd,1,"(32,)",1.0,0.0,True
signgd,1,"(32,)",3.7,0.0,True
signgd,2,"(32,)",0.01,0.0,True
signgd,2,"(32,)",0.1,0.0,True
signgd,2,"(32,)",1.0,0.0,True
signgd,2,"(32,)",3.7,0.0,True
signgd,3,"(32,)",0.01,0.0,True
signgd,3,"(32,)",0.1,0.0,True
signgd,3,"(32,)",1.0,0.0,True
signgd,3,"(32,)",3.7,0.0,True
signgd,4,"(32,)",0.01,0.0,True
signgd,4,"(32,)",0.1,0.0,True
signgd,4,"(32,)",1.0,0.0,True
signgd,4,"(32,)",3.7,0.0,True
unscion_cnn_bias,0,"(8,)",0.01,0.0,True
unscion_cnn_bias,0,"(8,)",0.1,0.0,True
unscion_cnn_bias,0,"(8,)",1.0,0.0,True
unscion_cnn_bias,0,"(8,)",3.7,8.881784197001252e-16,True
unscion_cnn_bias,1,"(8,)",0.01,0.0,True
unscion_cnn_bias,1,"(8,)",0.1,0.0,True
unscion_cnn_bias,1,"(8,)",1.0,2.220446049250313e-16,True
unscion_cnn_bias,1,"(8,)",3.7,8.881784197001252e-16,True
unscion_cnn_bias,2,"(8,)",0.01,0.0,True
unscion_cnn_bias,2,"(8,)",0.1,2.7755575615628914e-17,True
unscion_cnn_bias,2,"(8,)",1.0,2.7755575615628914e-17,True
unscion_cnn_bias,2,"(8,)",3.7,4.440892098500626e-16,True
unscion_cnn_bias,3,"(8,)",0.01,0.0,True
unscion_cnn_bias,3,"(8,)",0.1,0.0,True
unscion_cnn_bias,3,"(8,)",1.0,2.220446049250313e-16,True
unscion_cnn_bias,3,"(8,)",3.7,1.1102230246251565e-16,True
unscion_cnn_bias,4,"(8,)",0.01,0.0,True
unscion_cnn_bias,4,"(8,)",0.1,2.7755575615628914e-17,True
unscion_cnn_bias,4,"(8,)",1.0,1.1102230246251565e-16,True
unscion_cnn_bias,4,"(8,)",3.7,8.881784197001252e-16,True
unscion_cnn_bias,0,"(16,)",0.01,0.0,True
unscion_cnn_bias,0,"(16,)",0.1,5.551115123125783e-17,True
unscion_cnn_bias,0,"(16,)",1.0,0.0,True
unscion_cnn_bias,0,"(16,)",3.7,4.440892098500626e-16,True
unscion_cnn_bias,1,"(16,)",0.01,0.0,True
unscion_cnn_bias,1,"(16,)",0.1,2.7755575615628914e-17,True
unscion_cnn_bias,1,"(16,)",1.0,0.0,True
unscion_cnn_bias,1,"(16,)",3.7,1.7763568394002505e-15,True
unscion_cnn_bias,2,"(16,)",0.01,0.0,True
unscion_cnn_bias,2,"(16,)",0.1,5.551115123125783e-17,True
unscion_cnn_bias,2,"(16,)",1.0,0.0,True
unscion_cnn_bias,2,"(16,)",3.7,1.7763568394002505e-15,True
unscion_cnn_bias,3,"(16,)",0.01,0.0,True
unscion_cnn_bias,3,"(16,)",0.1,5.551115123125783e-17,True
unscion_cnn_bias,3,"(16,)",1.0,0.0,True
unscion_cnn_bias,3,"(16,)",3.7,8.881784197001252e-16,True
unscion_cnn_bias,4,"(16,)",0.01,0.0,True
unscion_cnn_bias,4,"(16,)",0.1,0.0,True
unscion_cnn_bias,4,"(16,)",1.0,0.0,True
unscion_cnn_bias,4,"(16,)",3.7,8.881784197001252e-16,True
unscion_cnn_bias,0,"(32,)",0.01,0.0,True
unscion_cnn_bias,0,"(32,)",0.1,2.220446049250313e-16,True
unscion_cnn_bias,0,"(32,)",1.0,4.440892098500626e-16,True
unscion_cnn_bias,0,"(32,)",3.7,1.7763568394002505e-15,True
unscion_cnn_bias,1,"(32,)",0.01,3.469446951953614e-18,True
unscion_cnn_bias,1,"(32,)",0.1,1.1102230246251565e-16,True
unscion_cnn_bias,1,"(32,)",1.0,4.440892098500626e-16,True
